f,radius,time,bitstring_count
0.125000,5,0.006480,10
0.125000,5,0.006578,15
0.125000,5,0.006612,15
0.125000,5,0.006435,9
0.125000,5,0.006586,18
0.125000,5,0.006802,9
0.125000,5,0.006279,12
0.125000,5,0.006653,11
0.125000,5,0.021529,15
0.125000,5,0.006410,9
0.125000,5,0.006668,15
0.125000,5,0.006303,9
0.125000,5,0.006807,11
0.125000,5,0.006414,11
0.125000,5,0.006647,14
0.125000,5,0.006666,9
0.125000,5,0.006682,10
0.125000,5,0.006712,14
0.125000,5,0.006796,10
0.125000,5,0.006412,16
0.125000,5,0.031376,20
0.125000,5,0.006831,15
0.125000,5,0.006271,10
0.125000,5,0.006345,8
0.125000,5,0.006652,14
0.125000,5,0.007414,16
0.125000,5,0.006528,15
0.125000,5,0.006551,15
0.125000,5,0.006426,11
0.125000,5,0.006823,16
0.125000,5,0.006826,15
0.125000,5,0.006400,9
0.125000,5,0.006712,14
0.125000,5,0.006640,17
0.125000,5,0.006225,10
0.125000,5,0.006647,14
0.125000,5,0.006561,14
0.125000,5,0.006876,13
0.125000,5,0.014704,15
0.125000,5,0.006666,15
0.125000,5,0.030534,17
0.125000,5,0.006486,16
0.125000,5,0.006573,9
0.125000,5,0.006734,12
0.125000,5,0.006109,9
0.125000,5,0.006659,16
0.125000,5,0.006480,10
0.125000,5,0.006974,12
0.125000,5,0.006600,15
0.125000,5,0.006645,16
0.125000,5,0.006403,10
0.125000,5,0.006385,10
0.125000,5,0.006582,16
0.125000,5,0.011661,14
0.125000,5,0.021500,14
0.125000,5,0.006600,15
0.062500,5,0.008147,16
0.062500,5,0.007254,22
